Gene,Avg_Probability,Unanimity_Prediction,Passes_Probability_Threshold
WBGene00006434,0.987,1,TRUE
WBGene00001005,0.983,1,TRUE
WBGene00009688,0.983,1,TRUE
WBGene00019900,0.981,1,TRUE
WBGene00006911,0.98,1,TRUE
WBGene00008262,0.98,1,TRUE
WBGene00008920,0.98,1,TRUE
WBGene00000263,0.979,1,TRUE
WBGene00019322,0.978,1,TRUE
WBGene00002344,0.977,1,TRUE
WBGene00003920,0.977,1,TRUE
WBGene00013463,0.977,1,TRUE
WBGene00000064,0.976,1,TRUE
WBGene00006537,0.976,1,TRUE
WBGene00000883,0.975,1,TRUE
WBGene00008505,0.975,1,TRUE
WBGene00009119,0.975,1,TRUE
WBGene00000833,0.973,1,TRUE
WBGene00018846,0.973,1,TRUE
WBGene00011156,0.972,1,TRUE
WBGene00001427,0.971,1,TRUE
WBGene00002045,0.971,1,TRUE
WBGene00004302,0.971,1,TRUE
WBGene00006528,0.971,1,TRUE
WBGene00000063,0.97,1,TRUE
WBGene00000065,0.97,1,TRUE
WBGene00000802,0.967,1,TRUE
WBGene00004435,0.967,1,TRUE
WBGene00006529,0.967,1,TRUE
WBGene00006536,0.967,1,TRUE
WBGene00009739,0.967,0,FALSE
WBGene00017166,0.966,1,TRUE
WBGene00018519,0.965,1,TRUE
WBGene00009122,0.961,1,TRUE
WBGene00004424,0.957,1,TRUE
WBGene00006919,0.957,1,TRUE
WBGene00019537,0.957,1,TRUE
WBGene00006439,0.956,1,TRUE
WBGene00000209,0.952,0,FALSE
WBGene00003964,0.952,1,TRUE
WBGene00004471,0.951,1,TRUE
WBGene00006924,0.951,1,TRUE
WBGene00009880,0.95,1,TRUE
WBGene00015248,0.95,1,TRUE
WBGene00006917,0.949,1,TRUE
WBGene00017984,0.949,1,TRUE
WBGene00003902,0.947,1,TRUE
WBGene00010896,0.947,1,TRUE
WBGene00020868,0.947,1,TRUE
WBGene00022235,0.947,1,TRUE
WBGene00022748,0.947,1,TRUE
WBGene00001502,0.946,1,TRUE
WBGene00004442,0.945,1,TRUE
WBGene00016746,0.945,1,TRUE
WBGene00020894,0.945,1,TRUE
WBGene00000380,0.944,1,TRUE
WBGene00001168,0.944,1,TRUE
WBGene00004888,0.944,1,TRUE
WBGene00077526,0.944,1,TRUE
WBGene00002980,0.943,1,TRUE
WBGene00004439,0.943,1,TRUE
WBGene00004450,0.943,1,TRUE
WBGene00004474,0.943,1,TRUE
WBGene00004434,0.942,1,TRUE
WBGene00004489,0.942,1,TRUE
WBGene00004493,0.942,1,TRUE
WBGene00004456,0.94,1,TRUE
WBGene00004479,0.94,1,TRUE
WBGene00016655,0.94,1,TRUE
WBGene00004484,0.939,1,TRUE
WBGene00007708,0.939,1,TRUE
WBGene00010809,0.939,1,TRUE
WBGene00000879,0.938,1,TRUE
WBGene00004451,0.938,1,TRUE
WBGene00014016,0.938,1,TRUE
WBGene00004492,0.937,1,TRUE
WBGene00006728,0.937,1,TRUE
WBGene00001946,0.936,1,TRUE
WBGene00004410,0.936,1,TRUE
WBGene00004428,0.936,1,TRUE
WBGene00017075,0.936,1,TRUE
WBGene00004480,0.935,1,TRUE
WBGene00001303,0.934,1,TRUE
WBGene00004478,0.934,1,TRUE
WBGene00006984,0.934,1,TRUE
WBGene00012602,0.934,1,TRUE
WBGene00003934,0.933,1,TRUE
WBGene00004488,0.933,1,TRUE
WBGene00011128,0.933,1,TRUE
WBGene00011232,0.933,1,TRUE
WBGene00012179,0.933,1,TRUE
WBGene00021350,0.933,1,TRUE
WBGene00006910,0.932,1,TRUE
WBGene00009050,0.932,1,TRUE
WBGene00021248,0.932,1,TRUE
WBGene00004447,0.931,1,TRUE
WBGene00000475,0.93,1,TRUE
WBGene00000881,0.93,1,TRUE
WBGene00006725,0.929,1,TRUE
WBGene00002005,0.928,1,TRUE
WBGene00004487,0.928,1,TRUE
WBGene00004446,0.926,1,TRUE
WBGene00004423,0.925,1,TRUE
WBGene00004436,0.925,1,TRUE
WBGene00009882,0.925,1,TRUE
WBGene00000066,0.924,1,TRUE
WBGene00004426,0.924,1,TRUE
WBGene00004444,0.924,1,TRUE
WBGene00019680,0.924,1,TRUE
WBGene00004441,0.923,1,TRUE
WBGene00004472,0.923,1,TRUE
WBGene00004700,0.923,1,TRUE
WBGene00006727,0.923,1,TRUE
WBGene00004408,0.922,1,TRUE
WBGene00004429,0.922,1,TRUE
WBGene00003372,0.921,1,TRUE
WBGene00004419,0.921,1,TRUE
WBGene00004449,0.921,1,TRUE
WBGene00004483,0.921,1,TRUE
WBGene00016493,0.921,1,TRUE
WBGene00022599,0.921,1,TRUE
WBGene00000183,0.92,1,TRUE
WBGene00003065,0.92,1,TRUE
WBGene00004440,0.92,1,TRUE
WBGene00004918,0.92,1,TRUE
WBGene00003962,0.919,1,TRUE
WBGene00001971,0.918,1,TRUE
WBGene00004469,0.918,1,TRUE
WBGene00016258,0.918,1,TRUE
WBGene00001911,0.917,1,TRUE
WBGene00004431,0.917,1,TRUE
WBGene00001748,0.916,1,TRUE
WBGene00019162,0.916,1,TRUE
WBGene00001501,0.915,1,TRUE
WBGene00022075,0.914,0,FALSE
WBGene00001167,0.913,1,TRUE
WBGene00004433,0.913,1,TRUE
WBGene00004470,0.913,1,TRUE
WBGene00006913,0.913,1,TRUE
WBGene00012344,0.913,1,TRUE
WBGene00001169,0.912,1,TRUE
WBGene00004409,0.912,1,TRUE
WBGene00004412,0.912,1,TRUE
WBGene00004421,0.912,1,TRUE
WBGene00004494,0.912,1,TRUE
WBGene00007630,0.912,1,TRUE
WBGene00020604,0.912,1,TRUE
WBGene00001558,0.911,1,TRUE
WBGene00004415,0.911,1,TRUE
WBGene00004920,0.911,1,TRUE
WBGene00006918,0.911,1,TRUE
WBGene00003053,0.91,1,TRUE
WBGene00004445,0.91,1,TRUE
WBGene00004476,0.91,1,TRUE
WBGene00004897,0.91,1,TRUE
WBGene00004418,0.909,1,TRUE
WBGene00022783,0.908,1,TRUE
WBGene00000377,0.907,1,TRUE
WBGene00004432,0.907,1,TRUE
WBGene00004482,0.907,1,TRUE
WBGene00010478,0.907,1,TRUE
WBGene00013766,0.907,1,TRUE
WBGene00015514,0.907,1,TRUE
WBGene00004417,0.905,1,TRUE
WBGene00009772,0.905,1,TRUE
WBGene00018491,0.905,1,TRUE
WBGene00000896,0.904,1,TRUE
WBGene00004496,0.904,1,TRUE
WBGene00001840,0.903,1,TRUE
WBGene00004416,0.903,1,TRUE
WBGene00004477,0.903,1,TRUE
WBGene00004486,0.903,1,TRUE
WBGene00006704,0.903,1,TRUE
WBGene00004420,0.902,1,TRUE
WBGene00001423,0.901,1,TRUE
WBGene00004438,0.901,1,TRUE
WBGene00010556,0.901,1,TRUE
WBGene00003123,0.9,1,TRUE
WBGene00004491,0.9,1,TRUE
WBGene00014095,0.9,1,TRUE
