"gene_id","module"
"WBGene00000001","turquoise"
"WBGene00000002","darkorange"
"WBGene00000003","violet"
"WBGene00000004","turquoise"
"WBGene00000005","green"
"WBGene00000006","turquoise"
"WBGene00000007","blue"
"WBGene00000008","green"
"WBGene00000009","palevioletred3"
"WBGene00000010","turquoise"
"WBGene00000012","coral2"
"WBGene00000013","honeydew1"
"WBGene00000014","darkred"
"WBGene00000015","thistle1"
"WBGene00000016","thistle1"
"WBGene00000017","darkorange"
"WBGene00000018","blue"
"WBGene00000019","blue"
"WBGene00000020","blue"
"WBGene00000022","green"
"WBGene00000023","blue"
"WBGene00000024","midnightblue"
"WBGene00000025","green"
"WBGene00000027","midnightblue"
"WBGene00000028","midnightblue"
"WBGene00000029","midnightblue"
"WBGene00000030","midnightblue"
"WBGene00000031","midnightblue"
"WBGene00000032","midnightblue"
"WBGene00000033","midnightblue"
"WBGene00000034","midnightblue"
"WBGene00000035","thistle3"
"WBGene00000036","green"
"WBGene00000037","thistle"
"WBGene00000038","turquoise"
"WBGene00000039","magenta"
"WBGene00000040","green"
"WBGene00000041","turquoise"
"WBGene00000042","red"
"WBGene00000043","turquoise"
"WBGene00000044","white"
"WBGene00000045","turquoise"
"WBGene00000046","steelblue"
"WBGene00000047","darkolivegreen4"
"WBGene00000048","turquoise"
"WBGene00000049","plum1"
"WBGene00000050","orangered3"
"WBGene00000051","red"
"WBGene00000053","red"
"WBGene00000054","turquoise"
"WBGene00000055","red"
"WBGene00000056","turquoise"
"WBGene00000057","red"
"WBGene00000058","red"
"WBGene00000059","orangered4"
"WBGene00000060","turquoise"
"WBGene00000061","steelblue"
"WBGene00000062","white"
"WBGene00000063","darkgreen"
"WBGene00000064","turquoise"
"WBGene00000065","darkgreen"
"WBGene00000066","darkgreen"
"WBGene00000067","firebrick4"
"WBGene00000068","red"
"WBGene00000069","plum"
"WBGene00000070","green"
"WBGene00000071","turquoise"
"WBGene00000072","green"
"WBGene00000073","plum3"
"WBGene00000074","salmon2"
"WBGene00000075","red"
"WBGene00000079","turquoise"
"WBGene00000080","turquoise"
"WBGene00000081","green"
"WBGene00000082","greenyellow"
"WBGene00000083","coral1"
"WBGene00000084","green"
"WBGene00000085","red"
"WBGene00000086","white"
"WBGene00000088","green"
"WBGene00000089","turquoise"
"WBGene00000090","turquoise"
"WBGene00000092","turquoise"
"WBGene00000093","turquoise"
"WBGene00000094","turquoise"
"WBGene00000095","turquoise"
"WBGene00000096","lightcoral"
"WBGene00000097","orange"
"WBGene00000098","blue"
"WBGene00000099","brown"
"WBGene00000100","darkolivegreen"
"WBGene00000101","turquoise"
"WBGene00000102","plum2"
"WBGene00000103","turquoise"
"WBGene00000105","green"
"WBGene00000106","brown"
"WBGene00000107","thistle1"
"WBGene00000108","salmon4"
"WBGene00000109","lavenderblush3"
"WBGene00000110","turquoise"
"WBGene00000111","green"
"WBGene00000112","red"
"WBGene00000113","turquoise"
"WBGene00000114","cyan"
"WBGene00000115","turquoise"
"WBGene00000116","lightsteelblue1"
"WBGene00000117","green"
"WBGene00000118","green"
"WBGene00000120","brown"
"WBGene00000121","brown"
"WBGene00000122","brown"
"WBGene00000123","turquoise"
"WBGene00000133","floralwhite"
"WBGene00000134","ivory"
"WBGene00000135","mediumorchid"
"WBGene00000136","green"
"WBGene00000137","brown"
"WBGene00000138","magenta"
"WBGene00000139","green"
"WBGene00000140","green"
"WBGene00000142","turquoise"
"WBGene00000143","turquoise"
"WBGene00000144","turquoise"
"WBGene00000145","turquoise"
"WBGene00000146","turquoise"
"WBGene00000147","turquoise"
"WBGene00000148","turquoise"
"WBGene00000149","turquoise"
"WBGene00000150","darkslateblue"
"WBGene00000151","turquoise"
"WBGene00000155","turquoise"
"WBGene00000156","turquoise"
"WBGene00000157","red"
"WBGene00000158","turquoise"
"WBGene00000159","turquoise"
"WBGene00000160","red"
"WBGene00000161","red"
"WBGene00000162","red"
"WBGene00000163","green"
"WBGene00000164","brown"
"WBGene00000165","blue"
"WBGene00000166","navajowhite1"
"WBGene00000168","turquoise"
"WBGene00000169","thistle1"
"WBGene00000170","sienna3"
"WBGene00000171","blue"
"WBGene00000172","green"
"WBGene00000173","turquoise"
"WBGene00000174","orangered4"
"WBGene00000175","palevioletred3"
"WBGene00000176","darkmagenta"
"WBGene00000177","lightyellow"
"WBGene00000178","green"
"WBGene00000179","yellow4"
"WBGene00000180","turquoise"
"WBGene00000181","turquoise"
"WBGene00000182","blue"
"WBGene00000183","blue"
"WBGene00000184","turquoise"
"WBGene00000185","thistle3"
"WBGene00000186","turquoise"
"WBGene00000187","blue"
"WBGene00000188","salmon"
"WBGene00000189","turquoise"
"WBGene00000190","blue"
"WBGene00000192","salmon2"
"WBGene00000193","salmon"
"WBGene00000195","darkgrey"
"WBGene00000196","turquoise"
"WBGene00000197","turquoise"
"WBGene00000198","turquoise"
"WBGene00000199","blue"
"WBGene00000200","turquoise"
"WBGene00000201","turquoise"
"WBGene00000202","turquoise"
"WBGene00000203","blue"
"WBGene00000204","turquoise"
"WBGene00000205","turquoise"
"WBGene00000206","turquoise"
"WBGene00000207","lightyellow"
"WBGene00000208","turquoise"
"WBGene00000209","turquoise"
"WBGene00000210","lightyellow"
"WBGene00000211","cyan"
"WBGene00000212","green"
"WBGene00000213","green"
"WBGene00000214","darkseagreen4"
"WBGene00000215","darkseagreen4"
"WBGene00000216","green"
"WBGene00000217","sienna3"
"WBGene00000218","darkseagreen4"
"WBGene00000219","darkseagreen4"
"WBGene00000220","salmon4"
"WBGene00000221","blue"
"WBGene00000222","red"
"WBGene00000223","green"
"WBGene00000224","turquoise"
"WBGene00000225","blue"
"WBGene00000226","turquoise"
"WBGene00000227","turquoise"
"WBGene00000228","grey60"
"WBGene00000229","lightyellow"
"WBGene00000230","lightyellow"
"WBGene00000231","turquoise"
"WBGene00000232","thistle"
"WBGene00000233","thistle3"
"WBGene00000235","brown"
"WBGene00000236","turquoise"
"WBGene00000237","red"
"WBGene00000238","green"
"WBGene00000239","darkorange2"
"WBGene00000240","skyblue1"
"WBGene00000241","salmon"
"WBGene00000242","salmon"
"WBGene00000244","salmon"
"WBGene00000245","cyan"
"WBGene00000246","blue"
"WBGene00000247","green"
"WBGene00000248","red"
"WBGene00000249","blue"
"WBGene00000250","turquoise"
"WBGene00000251","magenta"
"WBGene00000252","magenta"
"WBGene00000253","indianred4"
"WBGene00000254","blue"
"WBGene00000255","brown2"
"WBGene00000256","paleturquoise"
"WBGene00000257","blue"
"WBGene00000259","red"
"WBGene00000262","plum2"
"WBGene00000263","lightyellow"
"WBGene00000264","turquoise"
"WBGene00000265","turquoise"
"WBGene00000266","honeydew1"
"WBGene00000267","green"
"WBGene00000268","blue"
"WBGene00000269","blue"
"WBGene00000270","turquoise"
"WBGene00000271","turquoise"
"WBGene00000272","turquoise"
"WBGene00000273","darkmagenta"
"WBGene00000274","turquoise"
"WBGene00000275","turquoise"
"WBGene00000276","turquoise"
"WBGene00000277","turquoise"
"WBGene00000279","navajowhite2"
"WBGene00000280","plum1"
"WBGene00000281","red"
"WBGene00000282","lightsteelblue1"
"WBGene00000283","green"
"WBGene00000284","orangered4"
"WBGene00000285","turquoise"
"WBGene00000286","lightgreen"
"WBGene00000287","lightyellow"
"WBGene00000288","plum2"
"WBGene00000289","red"
"WBGene00000292","blue"
"WBGene00000293","red"
"WBGene00000294","salmon2"
"WBGene00000295","darkorange2"
"WBGene00000296","orangered4"
"WBGene00000298","firebrick4"
"WBGene00000301","brown"
"WBGene00000302","lightcyan1"
"WBGene00000366","green"
"WBGene00000367","turquoise"
"WBGene00000368","turquoise"
"WBGene00000369","turquoise"
"WBGene00000370","thistle3"
"WBGene00000371","lightyellow"
"WBGene00000372","green"
"WBGene00000373","greenyellow"
"WBGene00000375","green"
"WBGene00000376","turquoise"
"WBGene00000377","blue"
"WBGene00000378","turquoise"
