"gene_id","module"
"WBGene00000001","turquoise"
"WBGene00000002","yellow3"
"WBGene00000003","plum"
"WBGene00000004","darkolivegreen2"
"WBGene00000005","lightblue4"
"WBGene00000006","pink"
"WBGene00000007","skyblue4"
"WBGene00000008","orange"
"WBGene00000009","grey60"
"WBGene00000010","turquoise"
"WBGene00000012","maroon"
"WBGene00000013","lavenderblush3"
"WBGene00000015","royalblue"
"WBGene00000016","darkgreen"
"WBGene00000017","darkolivegreen"
"WBGene00000018","lightgreen"
"WBGene00000019","thistle2"
"WBGene00000020","violet"
"WBGene00000022","floralwhite"
"WBGene00000023","orange"
"WBGene00000024","yellow4"
"WBGene00000027","antiquewhite2"
"WBGene00000030","violet"
"WBGene00000031","violet"
"WBGene00000032","purple"
"WBGene00000033","violet"
"WBGene00000034","lightyellow"
"WBGene00000035","brown4"
"WBGene00000036","sienna3"
"WBGene00000037","skyblue"
"WBGene00000038","skyblue"
"WBGene00000039","lightcyan"
"WBGene00000040","lightcoral"
"WBGene00000041","yellow"
"WBGene00000042","paleturquoise"
"WBGene00000043","grey"
"WBGene00000044","honeydew"
"WBGene00000045","grey"
"WBGene00000046","lightyellow"
"WBGene00000047","brown2"
"WBGene00000048","mediumpurple4"
"WBGene00000049","skyblue4"
"WBGene00000050","lightyellow"
"WBGene00000051","blue"
"WBGene00000053","mediumpurple4"
"WBGene00000054","mediumpurple4"
"WBGene00000055","mediumpurple4"
"WBGene00000056","coral3"
"WBGene00000057","darkviolet"
"WBGene00000058","orangered1"
"WBGene00000059","darkturquoise"
"WBGene00000061","lightyellow"
"WBGene00000062","honeydew"
"WBGene00000063","lightyellow"
"WBGene00000064","turquoise"
"WBGene00000065","lightyellow"
"WBGene00000066","pink"
"WBGene00000067","brown"
"WBGene00000068","blue"
"WBGene00000069","skyblue"
"WBGene00000070","darkolivegreen2"
"WBGene00000071","brown"
"WBGene00000072","mediumpurple4"
"WBGene00000073","brown"
"WBGene00000074","tan4"
"WBGene00000075","plum4"
"WBGene00000079","grey60"
"WBGene00000080","turquoise"
"WBGene00000081","cyan"
"WBGene00000082","darkgrey"
"WBGene00000083","greenyellow"
"WBGene00000084","brown"
"WBGene00000085","darkviolet"
"WBGene00000086","blue"
"WBGene00000088","brown"
"WBGene00000089","blue"
"WBGene00000090","blue"
"WBGene00000092","pink4"
"WBGene00000093","turquoise"
"WBGene00000094","blue"
"WBGene00000095","darkolivegreen4"
"WBGene00000096","lightcyan"
"WBGene00000097","blue"
"WBGene00000098","turquoise"
"WBGene00000099","turquoise"
"WBGene00000100","magenta"
"WBGene00000101","turquoise"
"WBGene00000102","midnightblue"
"WBGene00000103","lightyellow"
"WBGene00000105","blue"
"WBGene00000106","blue"
"WBGene00000107","brown"
"WBGene00000108","yellow"
"WBGene00000109","brown"
"WBGene00000110","brown"
"WBGene00000111","purple"
"WBGene00000112","blue"
"WBGene00000113","darkgrey"
"WBGene00000114","pink"
"WBGene00000115","yellowgreen"
"WBGene00000116","lightcyan"
"WBGene00000117","bisque4"
"WBGene00000118","pink"
"WBGene00000120","mediumorchid"
"WBGene00000121","turquoise"
"WBGene00000122","blue"
"WBGene00000123","turquoise"
"WBGene00000133","royalblue"
"WBGene00000134","green"
"WBGene00000135","darkseagreen4"
"WBGene00000136","brown"
"WBGene00000137","green"
"WBGene00000138","violet"
"WBGene00000139","purple"
"WBGene00000140","saddlebrown"
"WBGene00000142","turquoise"
"WBGene00000143","turquoise"
"WBGene00000144","turquoise"
"WBGene00000145","blue"
"WBGene00000146","greenyellow"
"WBGene00000147","blue"
"WBGene00000148","blue"
"WBGene00000149","steelblue"
"WBGene00000150","brown"
"WBGene00000151","turquoise"
"WBGene00000155","turquoise"
"WBGene00000156","magenta"
"WBGene00000157","blue"
"WBGene00000158","greenyellow"
"WBGene00000159","blue"
"WBGene00000160","blue"
"WBGene00000161","blue"
"WBGene00000162","blue"
"WBGene00000163","blue"
"WBGene00000164","blue"
"WBGene00000165","blue"
"WBGene00000166","blue"
"WBGene00000168","coral1"
"WBGene00000169","cyan"
"WBGene00000170","greenyellow"
"WBGene00000171","palevioletred2"
"WBGene00000172","brown"
"WBGene00000173","lightyellow"
"WBGene00000174","royalblue"
"WBGene00000175","darkolivegreen2"
"WBGene00000176","white"
"WBGene00000177","brown"
"WBGene00000178","brown"
"WBGene00000179","brown"
"WBGene00000180","blue"
"WBGene00000181","turquoise"
"WBGene00000182","tan"
"WBGene00000183","salmon"
"WBGene00000184","blue"
"WBGene00000185","yellow4"
"WBGene00000186","pink"
"WBGene00000187","blue"
"WBGene00000188","green"
"WBGene00000189","salmon"
"WBGene00000190","brown"
"WBGene00000192","blue"
"WBGene00000193","green"
"WBGene00000195","orangered3"
"WBGene00000196","darkgrey"
"WBGene00000197","turquoise"
"WBGene00000198","blue"
"WBGene00000199","mediumpurple3"
"WBGene00000200","magenta"
"WBGene00000201","blue"
"WBGene00000202","turquoise"
"WBGene00000203","blue"
"WBGene00000204","blue"
"WBGene00000205","lightyellow"
"WBGene00000206","turquoise"
"WBGene00000207","yellow"
"WBGene00000208","turquoise"
"WBGene00000209","yellow"
"WBGene00000210","yellow"
"WBGene00000211","skyblue2"
"WBGene00000212","skyblue3"
"WBGene00000213","salmon"
"WBGene00000214","brown"
"WBGene00000215","brown"
"WBGene00000216","cyan"
"WBGene00000217","blue2"
"WBGene00000218","darkorange"
"WBGene00000219","darkorange"
"WBGene00000220","lightgreen"
"WBGene00000221","white"
"WBGene00000222","white"
"WBGene00000223","plum1"
"WBGene00000224","lightsteelblue1"
"WBGene00000225","mediumorchid"
"WBGene00000226","turquoise"
"WBGene00000227","brown"
"WBGene00000228","lightyellow"
"WBGene00000229","yellow"
"WBGene00000230","yellow"
"WBGene00000231","turquoise"
"WBGene00000232","brown2"
"WBGene00000233","thistle4"
"WBGene00000235","turquoise"
"WBGene00000236","turquoise"
"WBGene00000237","darkturquoise"
"WBGene00000238","grey60"
"WBGene00000239","darkseagreen4"
"WBGene00000240","lightcyan"
"WBGene00000241","green"
"WBGene00000242","green"
"WBGene00000244","green"
"WBGene00000245","skyblue1"
"WBGene00000246","lightyellow"
"WBGene00000247","blue"
"WBGene00000248","blue"
"WBGene00000249","blue"
"WBGene00000250","turquoise"
"WBGene00000251","indianred4"
"WBGene00000252","plum2"
"WBGene00000253","lightyellow"
"WBGene00000254","lightyellow"
"WBGene00000255","salmon2"
"WBGene00000256","lightcyan"
"WBGene00000257","turquoise"
"WBGene00000259","blue"
"WBGene00000262","coral3"
"WBGene00000263","blue"
"WBGene00000264","turquoise"
"WBGene00000265","turquoise"
"WBGene00000266","orangered4"
"WBGene00000267","orangered4"
"WBGene00000268","brown"
"WBGene00000269","white"
"WBGene00000270","turquoise"
"WBGene00000271","turquoise"
"WBGene00000272","lightcoral"
"WBGene00000273","darkturquoise"
"WBGene00000274","turquoise"
"WBGene00000275","turquoise"
"WBGene00000276","yellow"
"WBGene00000277","blue"
"WBGene00000279","bisque4"
"WBGene00000280","thistle"
"WBGene00000281","grey60"
"WBGene00000282","maroon"
"WBGene00000283","firebrick4"
"WBGene00000284","palevioletred3"
"WBGene00000285","pink"
"WBGene00000286","blue"
"WBGene00000287","skyblue1"
"WBGene00000288","plum2"
