Complex,UniProt_name_human,gene_name_human,gene_name_worm,gene_ID_worm,gene_seqname_worm,function
I,-,-,C06A5.3,WBGene00015501,C06A5.3,Accessory
I,NDUA4_HUMAN,NDUA4,F36A2.7,WBGene00009454,F36A2.7,Core
I,NDUS2_HUMAN,NDUFS2 ,gas-1,WBGene00001520,K09A9.5,Core
I,ACPM_HUMAN,NDUFAB1,ndab-1,WBGene00013237,Y56A3A.19,Accessory
I,ACPM_HUMAN,NDUFAB1,ndab-2,WBGene00018151,F37C12.3,Accessory
I,NDUB3_HUMAN,NDUFB3 ,ndub-3,WBGene00007684,C18E9.4,Assembly/accessory
I,NDUA1_HUMAN,NDUFA1 ,ndua-1,WBGene00009294,F31D4.9,Accessory
I,NDUS2_HUMAN,NDUFS2,nduf-2.2,WBGene00006463,T26A5.3,Core
I,NDUV3_HUMAN,NDUFV3,nduv-3,WBGene00022075,Y69A2AR.3,Accessory
II,SDHA_HUMAN,SDHA,sdha-1,WBGene00015391,C03G5.1,Core
II,SDHA_HUMAN,SDHA,sdha-2,WBGene00016392,C34B2.7,Core
III,QCR9_HUMAN,UQCR10,C14B9.10,WBGene00015755,C14B9.10,Core
III,QCR8_HUMAN,UQCRQ ,F45H10.2,WBGene00009739,F45H10.2,Core
III,QCR1_HUMAN,UQCRC1 ,mppb-1,WBGene00013880,ZC410.2,Core
III,QCR8_HUMAN,UQCRQ ,R07E4.3,WBGene00019937,R07E4.3,Core
III,QCR1_HUMAN,UQCRC1 ,ucr-1,WBGene00018963,F56D2.1,Core
III,QCR10_HUMAN,UQCR11,ucr-11,WBGene00019007,F57B10.14,Core
III,QCR2_HUMAN,UQCRC2 ,ucr-2.1,WBGene00012158,VW06B3R.1,Core
III,QCR2_HUMAN,UQCRC2 ,ucr-2.2,WBGene00011679,T10B10.2,Core
III,QCR2_HUMAN,UQCRC2 ,ucr-2.3,WBGene00020757,T24C4.1,Core
IV,COX6C_HUMAN,COX6C,B0035.18,WBGene00044290,B0035.18,Core
IV,COX6C_HUMAN,COX6C,cox-6c,WBGene00017926,F29C4.2,Core
IV,CYC_HUMAN,CYCS,cyc-2.1,WBGene00017121,E04A4.7,Core
IV,CYC_HUMAN,CYCS,cyc-2.2,WBGene00013854,ZC116.2,Core
IV,COX8A_HUMAN,COX8A,F29B9.11,WBGene00017925,F29B9.11,Core
IV,COX6C_HUMAN,COX6C,Y111B2A.2,WBGene00013728,Y111B2A.2,Core
V,AT5F1_HUMAN,ATP5PB ,asb-1,WBGene00000206,F35G12.10,Core
V,ATF51_HUMAN,ATP5PB ,asb-2,WBGene00000207,F02E8.1,Core
V,AT5L_HUMAN,ATP5MG ,asg-1,WBGene00000209,K07A12.3,Core
V,AT5L2_HUMAN,ATP5MGL,asg-2,WBGene00000210,C53B7.4,Core
V,ATP5S_HUMAN,DMAC2L,C05C8.1,WBGene00015460,C05C8.1,Accessory
V,ATP5E_HUMAN/AT5EL_HUMAN,ATP5F1E/ATP5F1EP2,hpo-18,WBGene00017982,F32D1.2,Core
V,ATP5E_HUMAN/AT5EL_HUMAN,ATP5F1E/ATP5F1EP2,R05D3.6,WBGene00019880,R05D3.6,Core
V,ATPA_HUMAN,ATP5F1A ,T26E3.7,WBGene00012040,T26E3.7,Core
V,ATP5E_HUMAN/AT5EL_HUMAN,ATP5F1E/ATP5F1EP2,ZC262.5,WBGene00022582,ZC262.5,Core
